日付け,終値,始値,高値,安値,変化率
20240510,5222.68,5225.49,5239.66,5209.68,0.0016
20240509,5214.08,5189.03,5215.30,5180.41,0.0051
20240508,5187.67,5168.98,5191.95,5165.86,0.0
20240507,5187.70,5187.20,5200.23,5178.96,0.0013
20240506,5180.74,5142.42,5181.00,5142.42,0.0103
20240503,5127.79,5122.78,5139.12,5101.22,0.0126
20240502,5064.20,5049.32,5073.21,5011.05,0.0091
20240501,5018.39,5029.03,5096.12,5013.45,-0.0034000000000000002
20240430,5035.69,5103.78,5110.83,5035.31,-0.015700000000000002
20240429,5116.17,5114.13,5123.49,5088.65,0.0032
20240426,5099.96,5084.65,5114.62,5073.14,0.0102
20240425,5048.42,5019.88,5057.75,4990.58,-0.0046
20240424,5071.63,5084.86,5089.48,5047.02,0.0002
20240423,5070.55,5028.85,5076.12,5027.96,0.012
20240422,5010.60,4987.33,5038.84,4969.40,0.0087
20240419,4967.23,5005.44,5019.02,4953.56,-0.0088
20240418,5011.12,5031.52,5056.66,5001.89,-0.0022
20240417,5022.21,5068.97,5077.96,5007.25,-0.0058
20240416,5051.41,5064.59,5079.84,5039.83,-0.0021
20240415,5061.82,5149.67,5168.43,5052.47,-0.012
20240412,5123.41,5171.51,5175.03,5107.94,-0.0146
20240411,5199.06,5172.95,5211.78,5138.77,0.0074
20240410,5160.64,5167.88,5178.43,5138.70,-0.0095
20240409,5209.91,5217.03,5224.81,5160.78,0.0014000000000000002
20240408,5202.39,5211.37,5219.57,5197.35,-0.0004
20240405,5204.34,5158.95,5222.18,5157.21,0.0111
20240404,5147.21,5244.05,5256.59,5146.06,-0.0123
20240403,5211.49,5194.37,5228.75,5194.37,0.0011
20240402,5205.81,5204.29,5208.34,5184.05,-0.0072
20240401,5243.77,5257.97,5263.95,5229.20,-0.002
20240328,5254.35,5248.03,5264.85,5245.82,0.0011
20240327,5248.49,5226.31,5249.26,5213.92,0.0086
20240326,5203.58,5228.85,5235.16,5203.42,-0.0028000000000000004
20240325,5218.19,5219.52,5229.09,5216.09,-0.0031
20240322,5234.18,5242.48,5246.09,5229.87,-0.0014000000000000002
20240321,5241.53,5253.43,5261.10,5240.66,0.0032
20240320,5224.62,5181.69,5226.19,5171.55,0.0089
20240319,5178.51,5139.09,5180.31,5131.59,0.005600000000000001
20240318,5149.42,5154.77,5175.60,5145.47,0.0063
20240315,5117.09,5123.31,5136.86,5104.35,-0.006500000000000001
20240314,5150.48,5175.14,5176.85,5123.30,-0.0029
20240313,5165.31,5173.49,5179.14,5151.88,-0.0019
20240312,5175.27,5134.30,5179.87,5114.48,0.011200000000000002
20240311,5117.94,5111.96,5124.66,5091.14,-0.0011
20240308,5123.69,5164.46,5189.26,5117.50,-0.006500000000000001
20240307,5157.36,5132.38,5165.62,5128.21,0.0103
20240306,5104.76,5108.03,5127.97,5092.22,0.0051
20240305,5078.65,5110.52,5114.54,5056.82,-0.0102
20240304,5130.95,5130.99,5149.67,5127.18,-0.0012
20240301,5137.08,5098.51,5140.33,5094.16,0.008
20240229,5096.27,5085.36,5104.99,5061.89,0.0052
20240228,5069.76,5067.20,5077.37,5058.35,-0.0017000000000000001
20240227,5078.18,5074.60,5080.69,5057.29,0.0017000000000000001
20240226,5069.53,5093.00,5097.66,5068.91,-0.0038
20240223,5088.80,5100.92,5111.06,5081.46,0.0003
20240222,5087.03,5038.83,5094.39,5038.83,0.021099999999999997
20240221,4981.80,4963.03,4983.21,4946.00,0.0013
20240220,4975.51,4989.32,4993.71,4955.02,-0.006
20240216,5005.57,5031.13,5038.70,4999.52,-0.0048
20240215,5029.73,5003.14,5032.72,4999.44,0.0058
20240214,5000.62,4976.44,5002.52,4956.45,0.0096
20240213,4953.17,4967.94,4971.30,4920.31,-0.0137
20240212,5021.84,5026.83,5048.39,5016.83,-0.0009
20240209,5026.61,5004.17,5030.06,5000.34,0.005699999999999999
20240208,4997.91,4995.16,5000.40,4987.09,0.0006
20240207,4995.06,4973.05,4999.89,4969.05,0.008199999999999999
20240206,4954.23,4950.16,4957.77,4934.88,0.0023
20240205,4942.81,4957.19,4957.19,4918.09,-0.0032
20240202,4958.61,4916.06,4975.29,4907.99,0.010700000000000001
20240201,4906.19,4861.11,4906.97,4853.52,0.0125
20240131,4845.65,4899.19,4906.75,4845.15,-0.0161
20240130,4924.97,4925.89,4931.09,4916.27,-0.0006
20240129,4927.93,4892.95,4929.31,4887.40,0.0076
20240126,4890.97,4888.91,4906.69,4881.47,-0.0007000000000000001
20240125,4894.16,4886.66,4898.15,4869.34,0.0053
20240124,4868.55,4888.56,4903.68,4865.94,0.0008
20240123,4864.60,4856.80,4866.48,4844.37,0.0029
20240122,4850.43,4853.42,4868.41,4844.05,0.0022
20240119,4839.81,4796.28,4842.07,4785.87,0.0123
20240118,4780.94,4760.10,4785.79,4740.57,0.0088
20240117,4739.21,4739.13,4744.23,4714.82,-0.005600000000000001
20240116,4765.98,4772.35,4782.34,4747.12,-0.0037
20240112,4783.83,4791.18,4802.40,4768.98,0.0008
20240111,4780.24,4792.13,4798.50,4739.58,-0.0007000000000000001
20240110,4783.45,4759.94,4790.80,4756.20,0.005699999999999999
20240109,4756.50,4741.93,4765.47,4730.35,-0.0015
20240108,4763.54,4703.70,4764.54,4699.82,0.0141
20240105,4697.24,4690.57,4721.49,4682.11,0.0018
20240104,4688.68,4697.42,4726.78,4687.53,-0.0034000000000000002
20240103,4704.81,4725.07,4729.29,4699.71,-0.008
20240102,4742.83,4745.20,4754.33,4722.67,-0.005699999999999999
20231229,4769.83,4782.88,4788.43,4751.99,-0.0028000000000000004
20231228,4783.35,4786.44,4793.30,4780.98,0.0004
20231227,4781.58,4773.45,4785.39,4768.90,0.0014000000000000002
20231226,4774.75,4758.86,4784.72,4758.45,0.0042
20231222,4754.63,4753.92,4772.94,4736.77,0.0017000000000000001
20231221,4746.75,4724.29,4748.71,4708.35,0.0103
20231220,4698.35,4764.73,4778.01,4697.82,-0.0147
20231219,4768.37,4743.72,4768.69,4743.72,0.0059
20231218,4740.56,4725.58,4749.52,4725.58,0.0045000000000000005
20231215,4719.19,4714.23,4725.53,4704.69,-0.0001
20231214,4719.55,4721.04,4738.57,4694.34,0.0026
20231213,4707.09,4646.20,4709.69,4643.23,0.0137
20231212,4643.70,4618.30,4643.93,4608.09,0.0046
20231211,4622.44,4593.39,4623.71,4593.39,0.0039000000000000003
20231208,4604.37,4576.20,4609.23,4574.06,0.0040999999999999995
20231207,4585.59,4568.84,4590.92,4565.22,0.008
20231206,4549.34,4586.23,4590.74,4546.50,-0.0039000000000000003
20231205,4567.18,4557.25,4578.56,4551.68,-0.0006
20231204,4569.78,4564.37,4572.37,4546.72,-0.0054
20231201,4594.63,4559.43,4599.39,4554.71,0.0059
20231130,4567.80,4554.87,4569.89,4537.24,0.0038
20231129,4550.58,4571.84,4587.64,4547.15,-0.0009
20231128,4554.89,4545.55,4568.14,4540.51,0.001
20231127,4550.43,4554.86,4560.52,4546.32,-0.002
20231124,4559.34,4555.84,4560.31,4552.80,0.0006
20231122,4556.62,4553.04,4568.43,4545.05,0.0040999999999999995
20231121,4538.19,4538.77,4542.14,4525.51,-0.002
20231120,4547.38,4511.70,4557.11,4510.36,0.0074
20231117,4514.02,4509.55,4520.12,4499.66,0.0013
20231116,4508.24,4497.08,4511.99,4487.83,0.0012
20231115,4502.88,4505.30,4521.17,4495.31,0.0016
20231114,4495.70,4458.97,4508.67,4458.97,0.0191
20231113,4411.55,4406.66,4421.76,4393.82,-0.0008
20231110,4415.24,4364.15,4418.03,4353.34,0.015600000000000001
20231109,4347.35,4391.41,4393.40,4343.94,-0.008100000000000001
20231108,4382.78,4384.37,4391.20,4359.76,0.001
20231107,4378.38,4366.21,4386.26,4355.41,0.0028000000000000004
20231106,4365.98,4364.27,4372.21,4347.53,0.0018
20231103,4358.34,4334.23,4373.62,4334.23,0.009399999999999999
20231102,4317.78,4268.26,4319.72,4268.26,0.0189
20231101,4237.86,4201.27,4245.64,4197.74,0.0105
20231031,4193.80,4171.33,4195.55,4153.12,0.006500000000000001
20231030,4166.82,4139.39,4177.47,4132.94,0.012
20231027,4117.37,4152.93,4156.70,4103.78,-0.0048
20231026,4137.23,4175.99,4183.60,4127.90,-0.0118
20231025,4186.77,4232.42,4232.42,4181.42,-0.0143
20231024,4247.68,4235.79,4259.38,4219.43,0.0073
20231023,4217.04,4210.40,4255.84,4189.22,-0.0017000000000000001
20231020,4224.16,4273.85,4276.56,4223.03,-0.0126
20231019,4278.00,4321.36,4339.54,4269.69,-0.0085
20231018,4314.60,4357.35,4364.20,4303.84,-0.0134
20231017,4373.20,4345.23,4393.57,4337.54,-0.0001
20231016,4373.63,4342.37,4383.33,4342.37,0.0106
20231013,4327.78,4360.49,4377.10,4311.97,-0.005
20231012,4349.61,4380.94,4385.85,4325.43,-0.0062
20231011,4376.95,4366.59,4378.64,4345.34,0.0043
